"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2003-1-10","sistemaRioClaro","64,8 %","0,0 mm","60,8 mm","287,8 mm"
"2003-1-11","sistemaCantareira","42,4 %","25,0 mm","95,4 mm","253,0 mm"
"2003-1-11","sistemaAltoTiete","39,7 %","55,1 mm","94,9 mm","245,4 mm"
"2003-1-11","sistemaGuarapiranga","37,6 %","32,4 mm","70,0 mm","225,2 mm"
"2003-1-11","sistemaCotia","35,3 %","26,3 mm","71,9 mm","224,8 mm"
"2003-1-11","sistemaRioGrande","96,8 %","50,5 mm","83,5 mm","234,4 mm"
"2003-1-11","sistemaRioClaro","65,2 %","30,4 mm","91,2 mm","287,8 mm"
"2003-1-12","sistemaCantareira","42,6 %","8,3 mm","103,7 mm","253,0 mm"
"2003-1-12","sistemaAltoTiete","39,9 %","0,0 mm","94,9 mm","245,4 mm"
"2003-1-12","sistemaGuarapiranga","38,0 %","0,0 mm","70,0 mm","225,2 mm"
"2003-1-12","sistemaCotia","35,3 %","1,5 mm","73,4 mm","224,8 mm"
"2003-1-12","sistemaRioGrande","96,6 %","0,2 mm","83,7 mm","234,4 mm"
"2003-1-12","sistemaRioClaro","65,3 %","2,2 mm","93,4 mm","287,8 mm"
"2003-1-13","sistemaCantareira","43,0 %","23,3 mm","127,1 mm","253,0 mm"
"2003-1-13","sistemaAltoTiete","40,1 %","1,0 mm","95,8 mm","245,4 mm"
"2003-1-13","sistemaGuarapiranga","38,4 %","2,8 mm","72,8 mm","225,2 mm"
"2003-1-13","sistemaCotia","35,2 %","4,7 mm","78,1 mm","224,8 mm"
"2003-1-13","sistemaRioGrande","96,6 %","1,6 mm","85,3 mm","234,4 mm"
"2003-1-13","sistemaRioClaro","65,4 %","1,8 mm","95,2 mm","287,8 mm"
"2003-1-14","sistemaCantareira","42,9 %","2,8 mm","129,9 mm","253,0 mm"
"2003-1-14","sistemaAltoTiete","40,2 %","1,2 mm","97,0 mm","245,4 mm"
"2003-1-14","sistemaGuarapiranga","38,6 %","0,4 mm","73,2 mm","225,2 mm"
"2003-1-14","sistemaCotia","34,9 %","1,4 mm","79,5 mm","224,8 mm"
"2003-1-14","sistemaRioGrande","96,5 %","1,3 mm","86,6 mm","234,4 mm"
"2003-1-14","sistemaRioClaro","65,4 %","3,7 mm","98,9 mm","287,8 mm"
"2003-1-15","sistemaCantareira","42,8 %","0,0 mm","129,9 mm","253,0 mm"
"2003-1-15","sistemaAltoTiete","40,3 %","0,1 mm","97,2 mm","245,4 mm"
"2003-1-15","sistemaGuarapiranga","38,5 %","0,0 mm","73,2 mm","225,2 mm"
"2003-1-15","sistemaCotia","34,8 %","0,4 mm","79,9 mm","224,8 mm"
"2003-1-15","sistemaRioGrande","96,3 %","0,7 mm","87,3 mm","234,4 mm"
"2003-1-15","sistemaRioClaro","65,4 %","1,9 mm","100,8 mm","287,8 mm"
"2003-1-16","sistemaCantareira","42,8 %","0,0 mm","129,9 mm","253,0 mm"
"2003-1-16","sistemaAltoTiete","40,3 %","0,1 mm","97,2 mm","245,4 mm"
"2003-1-16","sistemaGuarapiranga","38,4 %","0,0 mm","73,2 mm","225,2 mm"
"2003-1-16","sistemaCotia","34,5 %","0,6 mm","80,5 mm","224,8 mm"
"2003-1-16","sistemaRioGrande","96,1 %","0,4 mm","87,7 mm","234,4 mm"
"2003-1-16","sistemaRioClaro","65,4 %","0,3 mm","101,1 mm","287,8 mm"
"2003-1-17","sistemaCantareira","43,3 %","43,4 mm","173,2 mm","253,0 mm"
"2003-1-17","sistemaAltoTiete","40,1 %","4,9 mm","102,1 mm","245,4 mm"
