"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2004-4-27","sistemaAltoTiete","36,3 %","0,1 mm","114,5 mm","93,2 mm"
"2004-4-27","sistemaGuarapiranga","49,7 %","0,0 mm","131,4 mm","71,7 mm"
"2004-4-27","sistemaCotia","42,4 %","0,0 mm","97,8 mm","84,8 mm"
"2004-4-27","sistemaRioGrande","90,8 %","0,2 mm","187,8 mm","103,7 mm"
"2004-4-27","sistemaRioClaro","102,0 %","0,2 mm","123,1 mm","188,7 mm"
"2004-4-28","sistemaCantareira","35,6 %","0,0 mm","127,7 mm","90,2 mm"
"2004-4-28","sistemaAltoTiete","36,3 %","0,1 mm","114,6 mm","93,2 mm"
"2004-4-28","sistemaGuarapiranga","49,7 %","0,0 mm","131,4 mm","71,7 mm"
"2004-4-28","sistemaCotia","42,3 %","0,0 mm","97,8 mm","84,8 mm"
"2004-4-28","sistemaRioGrande","90,8 %","0,0 mm","187,8 mm","103,7 mm"
"2004-4-28","sistemaRioClaro","101,7 %","0,2 mm","123,3 mm","188,7 mm"
"2004-4-29","sistemaCantareira","35,5 %","0,0 mm","127,7 mm","90,2 mm"
"2004-4-29","sistemaAltoTiete","36,1 %","0,2 mm","114,8 mm","93,2 mm"
"2004-4-29","sistemaGuarapiranga","49,7 %","0,0 mm","131,4 mm","71,7 mm"
"2004-4-29","sistemaCotia","42,2 %","0,0 mm","97,8 mm","84,8 mm"
"2004-4-29","sistemaRioGrande","90,8 %","0,0 mm","187,8 mm","103,7 mm"
"2004-4-29","sistemaRioClaro","101,6 %","0,2 mm","123,5 mm","188,7 mm"
"2004-4-30","sistemaCantareira","35,4 %","0,0 mm","127,7 mm","90,2 mm"
"2004-4-30","sistemaAltoTiete","36,2 %","0,2 mm","115,0 mm","93,2 mm"
"2004-4-30","sistemaGuarapiranga","49,5 %","0,0 mm","131,4 mm","71,7 mm"
"2004-4-30","sistemaCotia","42,0 %","0,0 mm","97,8 mm","84,8 mm"
"2004-4-30","sistemaRioGrande","90,6 %","0,0 mm","187,8 mm","103,7 mm"
"2004-4-30","sistemaRioClaro","101,6 %","0,2 mm","123,7 mm","188,7 mm"
"2004-5-1","sistemaCantareira","35,3 %","0,0 mm","0,0 mm","86,0 mm"
"2004-5-1","sistemaAltoTiete","35,9 %","0,1 mm","0,1 mm","79,5 mm"
"2004-5-1","sistemaGuarapiranga","49,4 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-1","sistemaCotia","41,9 %","0,0 mm","0,0 mm","68,9 mm"
"2004-5-1","sistemaRioGrande","90,5 %","0,0 mm","0,0 mm","82,0 mm"
"2004-5-1","sistemaRioClaro","101,4 %","0,1 mm","0,1 mm","133,2 mm"
"2004-5-2","sistemaCantareira","35,1 %","0,0 mm","0,0 mm","86,0 mm"
"2004-5-2","sistemaAltoTiete","36,0 %","0,1 mm","0,2 mm","79,5 mm"
"2004-5-2","sistemaGuarapiranga","49,1 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-2","sistemaCotia","41,6 %","0,0 mm","0,0 mm","68,9 mm"
"2004-5-2","sistemaRioGrande","90,3 %","0,0 mm","0,0 mm","82,0 mm"
"2004-5-2","sistemaRioClaro","101,4 %","0,1 mm","0,2 mm","133,2 mm"
"2004-5-3","sistemaCantareira","35,0 %","0,0 mm","0,0 mm","86,0 mm"
"2004-5-3","sistemaAltoTiete","35,9 %","0,0 mm","0,2 mm","79,5 mm"
"2004-5-3","sistemaGuarapiranga","48,9 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-3","sistemaCotia","41,5 %","0,0 mm","0,0 mm","68,9 mm"
"2004-5-3","sistemaRioGrande","90,1 %","0,0 mm","0,0 mm","82,0 mm"
"2004-5-3","sistemaRioClaro","101,4 %","0,0 mm","0,2 mm","133,2 mm"
"2004-5-4","sistemaCantareira","34,9 %","0,0 mm","0,0 mm","86,0 mm"
"2004-5-4","sistemaAltoTiete","35,8 %","0,1 mm","0,3 mm","79,5 mm"
"2004-5-4","sistemaGuarapiranga","48,6 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-4","sistemaCotia","41,2 %","0,0 mm","0,0 mm","68,9 mm"
"2004-5-4","sistemaRioGrande","90,0 %","0,0 mm","0,0 mm","82,0 mm"
"2004-5-4","sistemaRioClaro","101,4 %","0,1 mm","0,3 mm","133,2 mm"
"2004-5-5","sistemaCantareira","34,8 %","0,0 mm","0,0 mm","86,0 mm"
"2004-5-5","sistemaAltoTiete","35,9 %","13,8 mm","14,1 mm","79,5 mm"
"2004-5-5","sistemaGuarapiranga","48,3 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-5","sistemaCotia","41,1 %","0,0 mm","0,0 mm","68,9 mm"
"2004-5-5","sistemaRioGrande","89,7 %","0,0 mm","0,0 mm","82,0 mm"
"2004-5-5","sistemaRioClaro","101,4 %","4,2 mm","4,5 mm","133,2 mm"
"2004-5-6","sistemaCantareira","34,8 %","0,6 mm","0,6 mm","86,0 mm"
"2004-5-6","sistemaAltoTiete","35,8 %","2,3 mm","16,4 mm","79,5 mm"
"2004-5-6","sistemaGuarapiranga","48,2 %","0,0 mm","0,0 mm","59,8 mm"
"2004-5-6","sistemaCotia","40,9 %","1,3 mm","1,3 mm","68,9 mm"
"2004-5-6","sistemaRioGrande","89,7 %","0,4 mm","0,4 mm","82,0 mm"
"2004-5-6","sistemaRioClaro","101,4 %","7,2 mm","11,7 mm","133,2 mm"
"2004-5-7","sistemaCantareira","34,9 %","9,1 mm","9,7 mm","86,0 mm"
"2004-5-7","sistemaAltoTiete","35,9 %","4,4 mm","20,8 mm","79,5 mm"
"2004-5-7","sistemaGuarapiranga","47,9 %","1,0 mm","1,0 mm","59,8 mm"
"2004-5-7","sistemaCotia","40,8 %","2,3 mm","3,6 mm","68,9 mm"
"2004-5-7","sistemaRioGrande","89,5 %","6,8 mm","7,2 mm","82,0 mm"
"2004-5-7","sistemaRioClaro","101,9 %","12,2 mm","23,9 mm","133,2 mm"
"2004-5-8","sistemaCantareira","35,1 %","16,4 mm","26,1 mm","86,0 mm"
"2004-5-8","sistemaAltoTiete","36,3 %","16,5 mm","37,4 mm","79,5 mm"
"2004-5-8","sistemaGuarapiranga","47,9 %","7,6 mm","8,6 mm","59,8 mm"
"2004-5-8","sistemaCotia","40,8 %","7,1 mm","10,7 mm","68,9 mm"
"2004-5-8","sistemaRioGrande","89,7 %","6,7 mm","13,9 mm","82,0 mm"
"2004-5-8","sistemaRioClaro","101,7 %","7,9 mm","31,8 mm","133,2 mm"
"2004-5-9","sistemaCantareira","35,2 %","6,0 mm","32,2 mm","86,0 mm"
"2004-5-9","sistemaAltoTiete","36,5 %","0,9 mm","38,2 mm","79,5 mm"
"2004-5-9","sistemaGuarapiranga","47,8 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-9","sistemaCotia","40,7 %","0,0 mm","10,7 mm","68,9 mm"
"2004-5-9","sistemaRioGrande","89,5 %","0,5 mm","14,4 mm","82,0 mm"
"2004-5-9","sistemaRioClaro","101,7 %","1,7 mm","33,5 mm","133,2 mm"
"2004-5-10","sistemaCantareira","35,3 %","0,0 mm","32,2 mm","86,0 mm"
"2004-5-10","sistemaAltoTiete","36,5 %","0,1 mm","38,3 mm","79,5 mm"
"2004-5-10","sistemaGuarapiranga","47,7 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-10","sistemaCotia","40,5 %","0,0 mm","10,7 mm","68,9 mm"
"2004-5-10","sistemaRioGrande","89,3 %","0,0 mm","14,4 mm","82,0 mm"
"2004-5-10","sistemaRioClaro","101,6 %","1,3 mm","34,8 mm","133,2 mm"
"2004-5-11","sistemaCantareira","35,2 %","0,0 mm","32,2 mm","86,0 mm"
"2004-5-11","sistemaAltoTiete","36,6 %","0,0 mm","38,3 mm","79,5 mm"
"2004-5-11","sistemaGuarapiranga","47,3 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-11","sistemaCotia","40,4 %","0,0 mm","10,7 mm","68,9 mm"
"2004-5-11","sistemaRioGrande","89,2 %","0,0 mm","14,4 mm","82,0 mm"
"2004-5-11","sistemaRioClaro","101,6 %","0,4 mm","35,2 mm","133,2 mm"
"2004-5-12","sistemaCantareira","35,2 %","0,0 mm","32,2 mm","86,0 mm"
"2004-5-12","sistemaAltoTiete","36,5 %","0,0 mm","38,3 mm","79,5 mm"
"2004-5-12","sistemaGuarapiranga","46,9 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-12","sistemaCotia","40,3 %","0,0 mm","10,7 mm","68,9 mm"
"2004-5-12","sistemaRioGrande","89,0 %","0,0 mm","14,4 mm","82,0 mm"
"2004-5-12","sistemaRioClaro","101,4 %","0,0 mm","35,2 mm","133,2 mm"
"2004-5-13","sistemaCantareira","35,0 %","0,0 mm","32,2 mm","86,0 mm"
"2004-5-13","sistemaAltoTiete","36,5 %","0,0 mm","38,3 mm","79,5 mm"
"2004-5-13","sistemaGuarapiranga","46,6 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-13","sistemaCotia","40,0 %","0,0 mm","10,7 mm","68,9 mm"
"2004-5-13","sistemaRioGrande","88,9 %","0,0 mm","14,4 mm","82,0 mm"
"2004-5-13","sistemaRioClaro","101,4 %","0,2 mm","35,4 mm","133,2 mm"
"2004-5-14","sistemaCantareira","34,9 %","0,0 mm","32,2 mm","86,0 mm"
"2004-5-14","sistemaAltoTiete","36,3 %","0,0 mm","38,3 mm","79,5 mm"
"2004-5-14","sistemaGuarapiranga","46,4 %","0,0 mm","8,6 mm","59,8 mm"
"2004-5-14","sistemaCotia","39,8 %","0,2 mm","10,9 mm","68,9 mm"
"2004-5-14","sistemaRioGrande","88,6 %","0,0 mm","14,4 mm","82,0 mm"
"2004-5-14","sistemaRioClaro","101,3 %","0,1 mm","35,5 mm","133,2 mm"
"2004-5-15","sistemaCantareira","34,8 %","4,4 mm","36,6 mm","86,0 mm"
"2004-5-15","sistemaAltoTiete","36,3 %","1,7 mm","40,0 mm","79,5 mm"
"2004-5-15","sistemaGuarapiranga","46,1 %","5,1 mm","13,7 mm","59,8 mm"
"2004-5-15","sistemaCotia","39,7 %","3,1 mm","14,0 mm","68,9 mm"
"2004-5-15","sistemaRioGrande","88,6 %","3,1 mm","17,5 mm","82,0 mm"
"2004-5-15","sistemaRioClaro","101,2 %","1,4 mm","36,9 mm","133,2 mm"
"2004-5-16","sistemaCantareira","35,0 %","13,5 mm","50,1 mm","86,0 mm"
"2004-5-16","sistemaAltoTiete","36,2 %","4,5 mm","44,6 mm","79,5 mm"
"2004-5-16","sistemaGuarapiranga","46,0 %","2,4 mm","16,1 mm","59,8 mm"
"2004-5-16","sistemaCotia","39,6 %","2,8 mm","16,8 mm","68,9 mm"
"2004-5-16","sistemaRioGrande","88,6 %","3,2 mm","20,7 mm","82,0 mm"
"2004-5-16","sistemaRioClaro","101,2 %","9,4 mm","46,3 mm","133,2 mm"
"2004-5-17","sistemaCantareira","35,0 %","0,0 mm","50,1 mm","86,0 mm"
"2004-5-17","sistemaAltoTiete","36,1 %","0,1 mm","44,7 mm","79,5 mm"
"2004-5-17","sistemaGuarapiranga","45,7 %","0,0 mm","16,1 mm","59,8 mm"
"2004-5-17","sistemaCotia","39,4 %","0,0 mm","16,8 mm","68,9 mm"
"2004-5-17","sistemaRioGrande","88,4 %","0,2 mm","20,9 mm","82,0 mm"
"2004-5-17","sistemaRioClaro","101,2 %","0,1 mm","46,4 mm","133,2 mm"
"2004-5-18","sistemaCantareira","35,1 %","0,0 mm","50,1 mm","86,0 mm"
"2004-5-18","sistemaAltoTiete","36,1 %","0,0 mm","44,7 mm","79,5 mm"
"2004-5-18","sistemaGuarapiranga","45,5 %","0,0 mm","16,1 mm","59,8 mm"
"2004-5-18","sistemaCotia","39,3 %","0,0 mm","16,8 mm","68,9 mm"
"2004-5-18","sistemaRioGrande","88,1 %","0,0 mm","20,9 mm","82,0 mm"
"2004-5-18","sistemaRioClaro","100,9 %","0,1 mm","46,5 mm","133,2 mm"
"2004-5-19","sistemaCantareira","35,1 %","0,0 mm","50,1 mm","86,0 mm"
"2004-5-19","sistemaAltoTiete","35,9 %","0,0 mm","44,7 mm","79,5 mm"
"2004-5-19","sistemaGuarapiranga","45,2 %","0,0 mm","16,1 mm","59,8 mm"
"2004-5-19","sistemaCotia","39,2 %","0,1 mm","16,9 mm","68,9 mm"
"2004-5-19","sistemaRioGrande","87,9 %","0,0 mm","20,9 mm","82,0 mm"
"2004-5-19","sistemaRioClaro","101,2 %","2,8 mm","49,3 mm","133,2 mm"
"2004-5-20","sistemaCantareira","35,0 %","0,0 mm","50,1 mm","86,0 mm"
"2004-5-20","sistemaAltoTiete","35,9 %","0,0 mm","44,7 mm","79,5 mm"
"2004-5-20","sistemaGuarapiranga","45,0 %","0,0 mm","16,1 mm","59,8 mm"
"2004-5-20","sistemaCotia","39,0 %","0,2 mm","17,1 mm","68,9 mm"
"2004-5-20","sistemaRioGrande","87,8 %","0,8 mm","21,7 mm","82,0 mm"
"2004-5-20","sistemaRioClaro","101,4 %","1,2 mm","50,5 mm","133,2 mm"
"2004-5-21","sistemaCantareira","34,9 %","0,0 mm","50,1 mm","86,0 mm"
"2004-5-21","sistemaAltoTiete","35,8 %","0,5 mm","45,2 mm","79,5 mm"
"2004-5-21","sistemaGuarapiranga","44,7 %","0,4 mm","16,5 mm","59,8 mm"
"2004-5-21","sistemaCotia","38,8 %","1,2 mm","18,3 mm","68,9 mm"
"2004-5-21","sistemaRioGrande","87,6 %","1,4 mm","23,1 mm","82,0 mm"
"2004-5-21","sistemaRioClaro","101,6 %","2,8 mm","53,3 mm","133,2 mm"
"2004-5-22","sistemaCantareira","35,0 %","8,8 mm","58,9 mm","86,0 mm"
"2004-5-22","sistemaAltoTiete","35,8 %","3,9 mm","49,1 mm","79,5 mm"
"2004-5-22","sistemaGuarapiranga","44,6 %","6,2 mm","22,7 mm","59,8 mm"
"2004-5-22","sistemaCotia","38,8 %","7,1 mm","25,4 mm","68,9 mm"
"2004-5-22","sistemaRioGrande","87,6 %","5,9 mm","29,0 mm","82,0 mm"
"2004-5-22","sistemaRioClaro","101,6 %","1,6 mm","54,9 mm","133,2 mm"
"2004-5-23","sistemaCantareira","35,0 %","0,0 mm","58,9 mm","86,0 mm"
"2004-5-23","sistemaAltoTiete","35,7 %","0,1 mm","49,2 mm","79,5 mm"
"2004-5-23","sistemaGuarapiranga","44,6 %","0,0 mm","22,7 mm","59,8 mm"
"2004-5-23","sistemaCotia","38,8 %","0,0 mm","25,4 mm","68,9 mm"
"2004-5-23","sistemaRioGrande","87,5 %","0,0 mm","29,0 mm","82,0 mm"
"2004-5-23","sistemaRioClaro","101,6 %","0,2 mm","55,1 mm","133,2 mm"
"2004-5-24","sistemaCantareira","35,0 %","0,8 mm","59,7 mm","86,0 mm"
"2004-5-24","sistemaAltoTiete","35,6 %","0,2 mm","49,4 mm","79,5 mm"
"2004-5-24","sistemaGuarapiranga","44,4 %","0,0 mm","22,7 mm","59,8 mm"
"2004-5-24","sistemaCotia","38,6 %","0,0 mm","25,4 mm","68,9 mm"
"2004-5-24","sistemaRioGrande","87,3 %","0,0 mm","29,0 mm","82,0 mm"
"2004-5-24","sistemaRioClaro","101,4 %","0,0 mm","55,1 mm","133,2 mm"
"2004-5-25","sistemaCantareira","35,1 %","21,7 mm","81,5 mm","86,0 mm"
"2004-5-25","sistemaAltoTiete","35,8 %","27,6 mm","77,0 mm","79,5 mm"
"2004-5-25","sistemaGuarapiranga","44,7 %","14,8 mm","37,5 mm","59,8 mm"
"2004-5-25","sistemaCotia","39,0 %","23,2 mm","48,6 mm","68,9 mm"
"2004-5-25","sistemaRioGrande","87,6 %","16,9 mm","45,9 mm","82,0 mm"
"2004-5-25","sistemaRioClaro","102,0 %","34,3 mm","89,4 mm","133,2 mm"
"2004-5-26","sistemaCantareira","35,6 %","32,1 mm","113,5 mm","86,0 mm"
"2004-5-26","sistemaAltoTiete","36,2 %","10,7 mm","87,7 mm","79,5 mm"
"2004-5-26","sistemaGuarapiranga","45,0 %","12,4 mm","49,9 mm","59,8 mm"
"2004-5-26","sistemaCotia","39,6 %","7,4 mm","56,0 mm","68,9 mm"
"2004-5-26","sistemaRioGrande","87,8 %","5,7 mm","51,6 mm","82,0 mm"
"2004-5-26","sistemaRioClaro","102,0 %","11,7 mm","101,1 mm","133,2 mm"
"2004-5-27","sistemaCantareira","36,0 %","3,7 mm","117,3 mm","86,0 mm"
"2004-5-27","sistemaAltoTiete","36,3 %","0,1 mm","87,7 mm","79,5 mm"
"2004-5-27","sistemaGuarapiranga","44,8 %","0,0 mm","49,9 mm","59,8 mm"
"2004-5-27","sistemaCotia","39,7 %","0,0 mm","56,0 mm","68,9 mm"
"2004-5-27","sistemaRioGrande","87,8 %","0,0 mm","51,6 mm","82,0 mm"
"2004-5-27","sistemaRioClaro","101,7 %","0,2 mm","101,3 mm","133,2 mm"
"2004-5-28","sistemaCantareira","36,3 %","0,0 mm","117,3 mm","86,0 mm"
"2004-5-28","sistemaAltoTiete","36,3 %","0,0 mm","87,7 mm","79,5 mm"
"2004-5-28","sistemaGuarapiranga","44,8 %","0,0 mm","49,9 mm","59,8 mm"
"2004-5-28","sistemaCotia","39,8 %","0,5 mm","56,5 mm","68,9 mm"
"2004-5-28","sistemaRioGrande","87,6 %","0,0 mm","51,6 mm","82,0 mm"
"2004-5-28","sistemaRioClaro","101,6 %","0,1 mm","101,4 mm","133,2 mm"
"2004-5-29","sistemaCantareira","36,3 %","0,0 mm","117,3 mm","86,0 mm"
"2004-5-29","sistemaAltoTiete","36,4 %","0,0 mm","87,7 mm","79,5 mm"
"2004-5-29","sistemaGuarapiranga","44,7 %","0,0 mm","49,9 mm","59,8 mm"
"2004-5-29","sistemaCotia","39,7 %","0,0 mm","56,5 mm","68,9 mm"
"2004-5-29","sistemaRioGrande","87,5 %","0,0 mm","51,6 mm","82,0 mm"
"2004-5-29","sistemaRioClaro","101,6 %","0,1 mm","101,5 mm","133,2 mm"
"2004-5-30","sistemaCantareira","36,3 %","0,0 mm","117,3 mm","86,0 mm"
"2004-5-30","sistemaAltoTiete","36,2 %","0,0 mm","87,7 mm","79,5 mm"
"2004-5-30","sistemaGuarapiranga","44,4 %","0,0 mm","49,9 mm","59,8 mm"
"2004-5-30","sistemaCotia","39,6 %","0,3 mm","56,8 mm","68,9 mm"
"2004-5-30","sistemaRioGrande","87,3 %","0,0 mm","51,6 mm","82,0 mm"
"2004-5-30","sistemaRioClaro","101,6 %","0,0 mm","101,5 mm","133,2 mm"
"2004-5-31","sistemaCantareira","36,5 %","10,1 mm","127,4 mm","86,0 mm"
"2004-5-31","sistemaAltoTiete","36,3 %","11,6 mm","99,3 mm","79,5 mm"
"2004-5-31","sistemaGuarapiranga","44,2 %","4,7 mm","54,6 mm","59,8 mm"
"2004-5-31","sistemaCotia","39,7 %","12,0 mm","68,8 mm","68,9 mm"
"2004-5-31","sistemaRioGrande","87,5 %","12,1 mm","63,7 mm","82,0 mm"
"2004-5-31","sistemaRioClaro","101,6 %","2,3 mm","103,8 mm","133,2 mm"
"2004-6-1","sistemaCantareira","36,9 %","14,8 mm","14,8 mm","57,2 mm"
"2004-6-1","sistemaAltoTiete","36,6 %","19,7 mm","19,7 mm","54,3 mm"
"2004-6-1","sistemaGuarapiranga","45,2 %","20,4 mm","20,4 mm","53,9 mm"
"2004-6-1","sistemaCotia","41,2 %","23,7 mm","23,7 mm","61,6 mm"
"2004-6-1","sistemaRioGrande","87,9 %","12,6 mm","12,6 mm","58,4 mm"
"2004-6-1","sistemaRioClaro","102,0 %","19,3 mm","19,3 mm","96,0 mm"
"2004-6-2","sistemaCantareira","37,2 %","0,0 mm","14,8 mm","57,2 mm"
"2004-6-2","sistemaAltoTiete","37,0 %","0,1 mm","19,8 mm","54,3 mm"
"2004-6-2","sistemaGuarapiranga","45,5 %","0,0 mm","20,4 mm","53,9 mm"
"2004-6-2","sistemaCotia","41,6 %","0,2 mm","23,9 mm","61,6 mm"
"2004-6-2","sistemaRioGrande","87,9 %","0,0 mm","12,6 mm","58,4 mm"
"2004-6-2","sistemaRioClaro","101,9 %","2,5 mm","21,8 mm","96,0 mm"
"2004-6-3","sistemaCantareira","37,5 %","11,0 mm","25,7 mm","57,2 mm"
"2004-6-3","sistemaAltoTiete","37,2 %","3,0 mm","22,8 mm","54,3 mm"
"2004-6-3","sistemaGuarapiranga","45,7 %","8,0 mm","28,4 mm","53,9 mm"
"2004-6-3","sistemaCotia","42,3 %","7,8 mm","31,7 mm","61,6 mm"
"2004-6-3","sistemaRioGrande","87,8 %","2,3 mm","14,9 mm","58,4 mm"
"2004-6-3","sistemaRioClaro","101,7 %","3,2 mm","25,0 mm","96,0 mm"
"2004-6-4","sistemaCantareira","38,3 %","30,2 mm","55,9 mm","57,2 mm"
"2004-6-4","sistemaAltoTiete","37,4 %","18,3 mm","41,1 mm","54,3 mm"
"2004-6-4","sistemaGuarapiranga","46,0 %","9,2 mm","37,6 mm","53,9 mm"
"2004-6-4","sistemaCotia","42,7 %","7,3 mm","39,0 mm","61,6 mm"
"2004-6-4","sistemaRioGrande","88,1 %","14,1 mm","29,0 mm","58,4 mm"
"2004-6-4","sistemaRioClaro","102,3 %","25,8 mm","50,8 mm","96,0 mm"
"2004-6-5","sistemaCantareira","39,0 %","4,6 mm","60,5 mm","57,2 mm"
"2004-6-5","sistemaAltoTiete","38,3 %","28,5 mm","69,6 mm","54,3 mm"
"2004-6-5","sistemaGuarapiranga","46,6 %","13,6 mm","51,2 mm","53,9 mm"
"2004-6-5","sistemaCotia","43,3 %","10,4 mm","49,4 mm","61,6 mm"
"2004-6-5","sistemaRioGrande","90,0 %","37,4 mm","66,4 mm","58,4 mm"
"2004-6-5","sistemaRioClaro","103,6 %","66,6 mm","117,4 mm","96,0 mm"
"2004-6-6","sistemaCantareira","39,3 %","3,0 mm","63,4 mm","57,2 mm"
"2004-6-6","sistemaAltoTiete","39,1 %","1,4 mm","71,0 mm","54,3 mm"
"2004-6-6","sistemaGuarapiranga","47,2 %","0,0 mm","51,2 mm","53,9 mm"
"2004-6-6","sistemaCotia","43,9 %","0,4 mm","49,8 mm","61,6 mm"
"2004-6-6","sistemaRioGrande","91,7 %","1,8 mm","68,2 mm","58,4 mm"
"2004-6-6","sistemaRioClaro","102,3 %","8,5 mm","125,9 mm","96,0 mm"
"2004-6-7","sistemaCantareira","39,6 %","0,0 mm","63,4 mm","57,2 mm"
"2004-6-7","sistemaAltoTiete","39,8 %","0,0 mm","71,0 mm","54,3 mm"
"2004-6-7","sistemaGuarapiranga","47,8 %","0,0 mm","51,2 mm","53,9 mm"
"2004-6-7","sistemaCotia","44,1 %","0,2 mm","50,0 mm","61,6 mm"
"2004-6-7","sistemaRioGrande","92,5 %","0,2 mm","68,4 mm","58,4 mm"
"2004-6-7","sistemaRioClaro","101,9 %","0,0 mm","125,9 mm","96,0 mm"
"2004-6-8","sistemaCantareira","39,7 %","0,0 mm","63,4 mm","57,2 mm"
"2004-6-8","sistemaAltoTiete","40,3 %","0,2 mm","71,2 mm","54,3 mm"
"2004-6-8","sistemaGuarapiranga","48,3 %","0,0 mm","51,2 mm","53,9 mm"
"2004-6-8","sistemaCotia","44,3 %","0,0 mm","50,0 mm","61,6 mm"
"2004-6-8","sistemaRioGrande","92,5 %","0,0 mm","68,4 mm","58,4 mm"
"2004-6-8","sistemaRioClaro","101,7 %","0,5 mm","126,4 mm","96,0 mm"
"2004-6-9","sistemaCantareira","39,8 %","0,0 mm","63,4 mm","57,2 mm"
"2004-6-9","sistemaAltoTiete","40,5 %","0,0 mm","71,2 mm","54,3 mm"
"2004-6-9","sistemaGuarapiranga","48,7 %","0,0 mm","51,2 mm","53,9 mm"
"2004-6-9","sistemaCotia","44,3 %","0,0 mm","50,0 mm","61,6 mm"
"2004-6-9","sistemaRioGrande","92,5 %","0,0 mm","68,4 mm","58,4 mm"
"2004-6-9","sistemaRioClaro","101,6 %","0,4 mm","126,8 mm","96,0 mm"
"2004-6-10","sistemaCantareira","39,8 %","1,2 mm","64,6 mm","57,2 mm"
"2004-6-10","sistemaAltoTiete","40,6 %","2,6 mm","73,7 mm","54,3 mm"
"2004-6-10","sistemaGuarapiranga","49,0 %","4,2 mm","55,4 mm","53,9 mm"
"2004-6-10","sistemaCotia","44,4 %","5,3 mm","55,3 mm","61,6 mm"
"2004-6-10","sistemaRioGrande","92,5 %","4,8 mm","73,2 mm","58,4 mm"
"2004-6-10","sistemaRioClaro","101,6 %","2,3 mm","129,1 mm","96,0 mm"
"2004-6-11","sistemaCantareira","39,8 %","0,2 mm","64,8 mm","57,2 mm"
"2004-6-11","sistemaAltoTiete","40,6 %","0,0 mm","73,7 mm","54,3 mm"
"2004-6-11","sistemaGuarapiranga","49,0 %","0,0 mm","55,4 mm","53,9 mm"
"2004-6-11","sistemaCotia","44,4 %","0,0 mm","55,3 mm","61,6 mm"
"2004-6-11","sistemaRioGrande","92,4 %","0,0 mm","73,2 mm","58,4 mm"
"2004-6-11","sistemaRioClaro","101,6 %","0,1 mm","129,2 mm","96,0 mm"
"2004-6-12","sistemaCantareira","39,9 %","0,0 mm","64,8 mm","57,2 mm"
"2004-6-12","sistemaAltoTiete","40,7 %","0,0 mm","73,7 mm","54,3 mm"
"2004-6-12","sistemaGuarapiranga","48,9 %","0,0 mm","55,4 mm","53,9 mm"
"2004-6-12","sistemaCotia","44,3 %","0,0 mm","55,3 mm","61,6 mm"
"2004-6-12","sistemaRioGrande","92,2 %","0,0 mm","73,2 mm","58,4 mm"
"2004-6-12","sistemaRioClaro","101,6 %","0,0 mm","129,2 mm","96,0 mm"
"2004-6-13","sistemaCantareira","40,2 %","12,4 mm","77,2 mm","57,2 mm"
"2004-6-13","sistemaAltoTiete","40,9 %","11,7 mm","85,5 mm","54,3 mm"
"2004-6-13","sistemaGuarapiranga","49,1 %","9,6 mm","65,0 mm","53,9 mm"
"2004-6-13","sistemaCotia","44,7 %","11,3 mm","66,6 mm","61,6 mm"
"2004-6-13","sistemaRioGrande","92,5 %","13,1 mm","86,3 mm","58,4 mm"
"2004-6-13","sistemaRioClaro","102,3 %","24,2 mm","153,4 mm","96,0 mm"
"2004-6-14","sistemaCantareira","40,3 %","0,0 mm","77,2 mm","57,2 mm"
"2004-6-14","sistemaAltoTiete","40,9 %","0,0 mm","85,5 mm","54,3 mm"
"2004-6-14","sistemaGuarapiranga","49,1 %","0,0 mm","65,0 mm","53,9 mm"
"2004-6-14","sistemaCotia","44,8 %","0,0 mm","66,6 mm","61,6 mm"
"2004-6-14","sistemaRioGrande","92,5 %","0,0 mm","86,3 mm","58,4 mm"
"2004-6-14","sistemaRioClaro","101,9 %","0,2 mm","153,6 mm","96,0 mm"
"2004-6-15","sistemaCantareira","40,4 %","0,0 mm","77,2 mm","57,2 mm"
"2004-6-15","sistemaAltoTiete","40,9 %","0,0 mm","85,5 mm","54,3 mm"
"2004-6-15","sistemaGuarapiranga","49,0 %","0,0 mm","65,0 mm","53,9 mm"
"2004-6-15","sistemaCotia","44,8 %","0,0 mm","66,6 mm","61,6 mm"
"2004-6-15","sistemaRioGrande","92,4 %","0,0 mm","86,3 mm","58,4 mm"
"2004-6-15","sistemaRioClaro","101,7 %","4,3 mm","157,9 mm","96,0 mm"
"2004-6-16","sistemaCantareira","40,4 %","5,4 mm","82,6 mm","57,2 mm"
"2004-6-16","sistemaAltoTiete","40,8 %","0,1 mm","85,5 mm","54,3 mm"
"2004-6-16","sistemaGuarapiranga","48,9 %","0,0 mm","65,0 mm","53,9 mm"
"2004-6-16","sistemaCotia","44,8 %","0,1 mm","66,7 mm","61,6 mm"
